y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44
0.636334405,2.857142857,12,-6,9392,17.71428571,25.28571429,16,64.42857143,82.14285714,92,52,495.7142857,71.57142857,98,7014,16973.88,15200,6130.666667,1.807270017,1.1545159,0.652754117,0.361182397,2.7,5.6,4.9,0,26.5,407.09375,38.75,37.5,14,9.5,23.25,0,21.25,51.48607038,0.9175,0.8325,2.464517045,0.333746642,7983.2,6692.851189,4847.928387,190
0.499678457,4,18,-5,9942,18.71428571,25.85714286,16.28571429,64.42857143,81.57142857,93,56,501.4285714,78,97,7566,18309.72,17150,6917.166667,1.841653591,1.145901562,0.695752028,0.377786589,2.7,5.6,4.916666667,0,26.5,433.59375,42.75,40.5,16.75,10.75,26.25,0,22.25,53.90894428,1.0825,1.165,3.513231513,0.331646662,8450.7,7808.932381,5554.135557,190
0.440514469,11,22,-3,9394,19.57142857,26.85714286,16.71428571,56.14285714,78.28571429,94,42,474.2857143,75.02857143,104,7802.971429,18883.19086,13451,5425.236667,2.010133155,1.432611687,0.577521468,0.28730508,2.7,5.6,4.583333333,0,30,463.59375,42,39.75,14.5,10.75,27,0,20.25,49.06319648,1.25,1.1675,2.932616283,0.285063347,7984.9,7094.949088,5551.01005,190
0.527652733,6.714285714,22,-4,10776,19.57142857,29,17,39.28571429,69,90,32,440,67.85714286,153,10382.14286,25124.78571,21750,8772.5,2.33155027,1.517472691,0.81407758,0.349157207,2.614285714,5.6,4.214285714,0,27.75,491.34375,42.5,41.75,13,11.5,24.75,0,21.25,51.48607038,1.0825,0.835,2.79440647,0.285406284,9159.6,8024.352296,5774.738226,190
0.458199357,13.57142857,26,3,6821,18.85714286,25.14285714,16.28571429,63.42857143,81.57142857,94,33,422.8571429,67.28571429,96,6459.428571,15631.81714,14301,5768.07,2.29171927,1.446085199,0.845634071,0.368995488,2.571428571,5.6,4.157142857,0,27.75,519.09375,36.5,35.75,16.75,9.75,28,0,24.25,58.75469208,0.92075,1.165,2.647796099,0.313457764,5797.85,4990.540836,6048.026287,190
0.532797428,10.85714286,24,3,8251,18.71428571,26.14285714,16,59.57142857,79.14285714,94,40,435.7142857,61.54285714,110,6769.714286,16382.70857,15500,6251.666667,1.985542185,1.227856248,0.757685937,0.381601531,2.514285714,5.6,3.985714286,0,28.5,547.59375,37,34.25,13.25,8.75,29.25,0,23,55.72609971,1.06675,1.3325,2.034131354,0.284894713,7013.35,5397.03119,5709.502346,190
0.575241158,12.14285714,25,2,9076,18.85714286,26.71428571,16.42857143,47.42857143,74.28571429,93,32,424.2857143,68.08571429,111,7557.514286,18289.18457,17850,7199.5,2.015115092,1.221869168,0.793245923,0.393647949,2.6,5.6,3.428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7714.6,0,0,0
0.456913183,14.57142857,27,4,10335,20.42857143,27.42857143,16.42857143,45.42857143,73.14285714,95,21,391.4285714,71.51428571,126,9010.8,21806.136,25083.33333,10116.94444,2.109930914,1.131029662,0.978901252,0.463949434,2.657142857,5.7,3.933333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8784.75,0,0,0
0.501286174,18.28571429,30,5,10970,21.14285714,30,16,47.28571429,75.14285714,95,20,375.7142857,71.5,155,11082.5,26819.65,26000,10486.66667,2.444817685,1.488877241,0.955940444,0.391006843,2.3,5.7,3.414285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9324.5,0,0,0
0.955948553,15.71428571,27,4,11696,19.85714286,28.28571429,16,44.85714286,75,94,32,374.2857143,63.77142857,178,11351.31429,27470.18057,26550,10708.5,2.348681649,1.433112224,0.915569425,0.389822701,2.3,5.7,3.314285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9941.6,0,0,0
0.64340836,19.85714286,36,11,11715,21.14285714,28.57142857,16.42857143,46,71.85714286,95,33,352.8571429,70.15714286,174,12207.34286,29541.76971,24400,9841.333333,2.521704628,1.68164203,0.840062598,0.333132829,2.3,5.7,2.885714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9957.75,0,0,0
0.549517685,19.14285714,33,9,12079,20,29,16.14285714,38,68.28571429,94,26,345.7142857,80,177,14160,34267.2,33800,13632.66667,2.836923586,1.708298148,1.128625438,0.397834275,2.3,5.7,2.757142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10267.15,0,0,0
0.476527331,20.71428571,34,10,12724,21.28571429,31,16,41.71428571,67.14285714,91,33,317.1428571,80,188,15040,36396.8,33750,13612.5,2.860484124,1.790655454,1.06982867,0.37400266,2.3,5.771428571,2.742857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10815.4,0,0,0
0.869131833,22.14285714,36,11,12316,21.71428571,28.85714286,16,53.71428571,76,94,39,330,62.91428571,213,13400.74286,32429.79771,33150,13370.5,2.633143692,1.547523361,1.085620331,0.412290577,2.3,5.8,2.785714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10468.6,0,0,0
0.639871383,24,38,16,10787,23.42857143,30.14285714,16.57142857,59.85714286,80.71428571,97,46,345.7142857,62.54285714,188,11758.05714,28454.49829,25700,10365.66667,2.637850958,1.67691032,0.960940638,0.364289209,2.3,5.8,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9168.95,0,0,0
0.488424437,23.71428571,35,18,10600,23.42857143,29.85714286,18.71428571,66.71428571,85.42857143,98,52,364.2857143,59.98571429,176,10557.48571,25549.11543,28500,11495,2.410293908,1.325859946,1.084433962,0.449917729,2.442857143,5.8,3.914285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9010,0,0,0
0.68488746,23.42857143,34,16,12518,24,30.42857143,18,59.42857143,81.71428571,97,48,380,60,220,13200,31944,39800,16052.66667,2.551845343,1.269478617,1.282366725,0.502525253,2.5,5.771428571,3.814285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10640.3,0,0,0
0.51607717,24.57142857,38,17,9745,24.85714286,31.28571429,20.42857143,70.28571429,86.57142857,98,60,388.5714286,55.14285714,177,9760.285714,23619.89143,28100,11333.66667,2.423795939,1.260772166,1.163023773,0.47983568,2.5,5.7,3.528571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8283.25,0,0,0
0.5,25.66666667,36,20,8376.666667,26,31.33333333,22.33333333,69.66666667,86,96,64,390,59,172.6666667,10187.33333,24653.34667,19600,7905.333333,2.943097493,1.999364903,0.943732591,0.320659643,2.5,5.7,3.566666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7120.166667,0,0,0
0.71511254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.244694534,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.079245283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.813018868,22.44285714,32.7,15.4,13320,24.98571429,33.82857143,21.37142857,73.67142857,90.52857143,98.2,33.8,342.5714286,64.28571429,147,9450,25515,27550,12397.5,1.915540541,0.984797297,0.930743243,0.485890653,1.91,6.417142857,2.235714286,6.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9990,0,0,0
1.665849057,22.25,29.5,17.4,11714.5,24.35,32.65,21.45,69.65,91.7,96.1,46,348,65,161,10465,28255.5,29400,13230,2.412010756,1.282641171,1.129369585,0.468227425,2.18,6.32,2.46,6.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8785.875,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,25.47142857,33.8,20.2,8952,26.28571429,32.85714286,23.68571429,87.61428571,97.25714286,100,55.3,263.4285714,79.57142857,84,6684,18046.8,15680,7056,2.015951743,1.227747989,0.788203753,0.390983443,2.935714286,5.557142857,4.468571429,6,14.9375,14.9375,31.375,30.25,15.25,9.325,16.9375,0,6.25,16.88464837,4.9,3.9125,1.955063937,0.425170068,6714,5063.256288,4679.794168,200
,24.01428571,31.6,17.6,10764,24.58571429,31.94285714,21.32857143,79.92857143,91.17142857,100,55.9,241.2857143,70,148,10360,27972,21430,9643.5,2.598662207,1.702759197,0.89590301,0.34475547,2.841428571,5.471428571,5.087142857,5.928571429,17.0625,32,27.875,20.125,15,9.55,25.0875,0,10.625,28.70390223,0.475,0.95,1.13664287,0.658914729,8073,4316.312065,6074.340051,200
0.245283019,23.91428571,31.1,19.9,7162,24.51428571,30.25714286,22.57142857,87.24285714,95.9,100,59,371.2857143,62.71428571,120,7525.714286,20319.42857,16910,7609.5,2.837116528,1.774633981,1.062482547,0.374493799,2.671428571,5.485714286,4.162857143,5.814285714,18.125,50.125,26.375,20.625,17.5,8.25,26.75,0,12.25,33.09391081,0.5,0.05,1.285897885,0.695035461,5371.5,3134.790913,6724.826758,200
3.327358491,22.7,30.7,18.4,6283.2,23.38,29.18333333,21.36,88.98,94.9,100,74.5,283.6,51.71428571,104,5378.285714,14521.37143,10710,4819.5,2.311142639,1.544097184,0.767045455,0.33189014,2.491428571,5.533333333,3.967142857,5.757142857,18.28571429,68.41071429,26.42857143,19,19.125,7.7625,21.83333333,10,13.125,35.45776158,1.105,0.8875,1.297211353,0.805709024,4712.4,2766.802149,6602.254117,200
1.536981132,22.42857143,31.8,17.5,9623,22.98571429,30.22857143,19.91428571,85.81428571,94,100,69.3,531.8571429,50.57142857,114,5765.142857,15565.88571,6765,3044.25,1.617570998,1.301219548,0.31635145,0.19557191,2.428571429,5.557142857,4.171428571,5.714285714,10.75,79.16071429,26.75,19.625,20.375,7.566666667,0,11,11.5,31.067753,0,1.275,1.444817778,-1.548821549,7217.25,4554.682576,5818.981132,200
1.811320755,22,29.62857143,13.4,12488,23.28571429,31.37142857,20.58571429,84.45714286,96.13571429,100,65.6,583.4285714,48.71428571,162,7891.714286,21307.62857,12040,5418,1.706248284,1.272391782,0.433856502,0.254275129,2.47,5.642857143,5.147142857,5.785714286,14.1875,93.34821429,26,19.125,21.875,8.375,29.5,12,9.875,26.67774443,8.75,0.325,1.469280995,0.561478323,9366,5975.360968,5309.163808,200
1.489245283,20.28571429,29.5,12.7,10337,21.84285714,29.55714286,19.17142857,87.37142857,95.8,100,70.5,446.5714286,60.37142857,148,8934.971429,24124.42286,22460,10107,2.333793447,1.356043616,0.977749831,0.418953028,2.441428571,5.642857143,4.257142857,5.8,18,111.3482143,29.25,21.625,21.5,10.7375,47,13,9.5,25.66466552,-2.15,-0.366666667,1.836971651,1.088541667,7752.75,5654.770248,5008.716123,220
1.941132075,20.48571429,30.4,12.1,10157,22.01428571,30.11428571,19.24285714,82.91428571,94.05714286,100,51,183.3333333,52.07142857,144,7498.285714,20245.37143,15260,6867,1.993243224,1.317157766,0.676085458,0.33918864,2.504285714,5.542857143,4.154285714,5.714285714,12.35714286,123.7053571,28,21.125,21.75,9.742857143,0,14,8.25,22.28773585,0,0,1.737784895,-0.796052632,7617.75,5385.22161,4584.870926,220
1.805283019,19.22857143,31.8,9.6,9466,21.41428571,27.34285714,19.38571429,79.45714286,91.92857143,99.1,54.3,131,53.87142857,139,7488.128571,20217.94714,15370,6916.5,2.135849054,1.405181401,0.730667653,0.342097046,2.514285714,5.614285714,4.318571429,5.742857143,9.5,133.2053571,28.42857143,23.5,22,9.242857143,30.14285714,15,7,18.91080617,8.3,7.75,1.985306604,0.643966547,7099.5,5396.569125,3923.506003,220
1.580566038,15.67142857,28.5,7.5,11818,19.98571429,26.85714286,17.1,73.45714286,90.24285714,98.1,47.4,320,50.9,176,8958.4,24187.68,17360,7812,2.046681334,1.385655779,0.661025554,0.322974341,2.665714286,5.571428571,4.952857143,5.685714286,16.92857143,150.1339286,24,21,24.57142857,10.58571429,17.5,16,8,21.61234991,0.657142857,0.121428571,1.672795883,0.686733556,8863.5,6127.838545,3838.101201,220
2.785283019,12.7,24.9,2.4,8710,19.34285714,24.21428571,17.37142857,85.72857143,92.98571429,100,37.8,320,53.71428571,161,8648,23349.6,22540,10143,2.680780712,1.516257176,1.164523536,0.434397163,2.474,5.3,6.28,5.4,15.42857143,165.5625,27.42857143,21.28571429,26.28571429,10.81428571,18.42857143,16.34108527,8.142857143,21.99828473,0.871428571,1.085714286,2.07297091,0.696666667,6532.5,5074.260053,3677.186964,220
0.603018868,15.37142857,25.4,3.4,7336,19.97142857,25.28571429,18.07142857,86.17142857,93.4,100,52.9,320,57.42857143,130,7465.714286,20157.42857,19800,8910,2.747741081,1.533182739,1.214558342,0.442020666,2.28,6.258571429,3.924285714,6.004285714,15.71428571,181.2767857,26,20.71428571,28.71428571,10.65714286,17.57142857,18.79605263,8.285714286,22.38421955,0.8,0.757142857,2.088927346,0.776155718,5502,4289.808429,3928.394511,220
0.370943396,12.6,22.6,2,6682,19.11428571,23.3,17.52857143,85.88571429,90.92857143,100,58.6,320,59,123,7257,19593.9,18600,8370,2.932340617,1.67972164,1.252618976,0.427173763,2.372857143,6.282857143,3.515714286,6.232857143,12.28571429,193.5625,22.42857143,16.14285714,24.14285714,8.228571429,16.14285714,19.79605263,9.857142857,26.62950257,0.914285714,0.785714286,1.180735683,0.764350453,5011.5,2754.153546,4131.540309,220
0.71490566,9.814285714,19.4,0.3,7452,18.91428571,23.5,17.3,72.85714286,74.41428571,100,40,320,60.57142857,138,8358.857143,22568.91429,22500,10125,3.028571429,1.669875776,1.358695652,0.448625923,2.64,6.138571429,3.667142857,6.294285714,14.14285714,207.7053571,26,19.85714286,23.71428571,9.157142857,15.85714286,20.79605263,11,29.71698113,0.385714286,0.514285714,1.653796864,0.806666667,5589,3837.810431,4403.156089,220
0.971698113,7.042857143,17.6,-1,6703,17.7,21.92857143,16.27142857,75.85714286,82.04285714,97.2,41.1,320,60.28571429,105,6330,17091,15950,7177.5,2.549753842,1.478964643,1.070789199,0.419957873,2.767142857,6.074285714,3.705714286,6.184285714,15,222.7053571,23,20,22.85714286,9.528571429,15.71428571,21.79605263,12.57142857,33.96226415,0.985714286,1.042857143,1.420240137,0.812762385,5027.25,3137.210216,4336.049743,220
1.491132075,6.414285714,18.3,-2.6,6921,17.64285714,22.88571429,16.47142857,76.38571429,83.88571429,99,35.5,365.8571429,60,95,5700,15390,11200,5040,2.2236671,1.495448635,0.728218466,0.32748538,2.758571429,5.891428571,4.108571429,6.071428571,10.14285714,232.8482143,24.71428571,17.85714286,23.85714286,7.528571429,11.14285714,22.79605263,14.42857143,38.97941681,0.285714286,0.228571429,1.422199347,0.89669088,5190.75,3242.175425,4807.204117,220
1.976792453,11.05714286,18.9,4.4,4058,17.55714286,22.04285714,16.25714286,86.77142857,94.52857143,99.9,55,473.7142857,63.33333333,57,3610,9747,6300,2835,2.401922129,1.703302119,0.69862001,0.290858726,2.752,5.68,4.334,6.07,15,247.8482143,30,24,23.71428571,9.114285714,16.85714286,23.79605263,14.71428571,39.75128645,0.457142857,0.528571429,2.306346484,0.876256767,3043.5,2483.093656,4840.209262,220
2.780566038,2.842857143,14.7,-4.8,4346,16.75714286,21.97142857,15.38571429,85.88571429,86.67142857,97.2,61.2,480.2857143,66.33333333,63,4179,11283.3,5541.666667,2493.75,2.596249425,2.022445927,0.573803497,0.22101247,2.54,5.48,4.736666667,5.971666667,13.85714286,261.7053571,32.14285714,23.57142857,22.42857143,8.514285714,20.85714286,24.79605263,15.28571429,41.29502573,0.328571429,0.3,2.295376877,0.833333333,3259.5,2653.858028,4236.324185,200
1.944339623,1.442857143,9.7,-5.5,4741,16.68571429,21.98571429,15.52857143,86.44285714,88.28571429,98.6,62.2,411.4285714,70,57,3990,10773,6416.666667,2887.5,2.272305421,1.663256697,0.609048724,0.268031189,2.191428571,5.68,4.11,5.953333333,10.57142857,272.2767857,29.85714286,20.42857143,20.57142857,8.357142857,21.14285714,24.35603345,12.85714286,34.73413379,0.514285714,0.342857143,1.694855603,0.724637681,3555.75,2477.364277,3669.900515,200
1.395660377,-0.028571429,10,-8.3,5593,16.87142857,22.2,15.55714286,84.64285714,87.04285714,100,57.8,425,71.71428571,69,4948.285714,13360.37143,9275,4173.75,2.38876657,1.642521264,0.746245307,0.312397752,2.342857143,5.977142857,3.531666667,6.065,17.57142857,289.8482143,33.25,26.375,23,10.15,21,25.31326644,11.125,30.0546741,0.542857143,0.714285714,2.724544852,0.640946502,4194.75,3645.417483,3360.90952,200
1.156226415,0.9,11.3,-7.6,6483,17.25714286,23.22857143,15.75714286,80.4,83.24285714,95.6,57,471.4285714,74.71428571,73,5454.142857,14726.18571,11600,5220,2.2715079,1.466325114,0.805182786,0.354470608,2.318571429,5.985714286,3.35,6.022857143,11.375,301.2232143,30.375,22.75,18.25,8.55,20,26.31326644,13,35.12006861,0.571428571,0.471428571,1.703501672,0.71372549,4862.25,3397.745877,3944.686106,200
1.160566038,-0.485714286,11.4,-10.5,5580,16.62857143,22.22857143,15.4,83.17142857,84.51428571,96.1,52,478.2857143,69.85714286,60,4191.428571,11316.85714,7200,3240,2.028110599,1.447465438,0.580645161,0.286298569,2.338571429,5.951428571,3.168571429,6.124285714,15.375,316.5982143,31.125,25.625,19,10.325,19.25,27.31326644,13.5,36.47084048,1.048214286,0.644642857,2.046957581,0.653018917,4185,3230.61008,3785.619211,200
1.370754717,1.785714286,13,-5.6,7110,17.27142857,23.47142857,15.57142857,82.7,85.72857143,99,63.1,433.5714286,73.28571429,74,5423.142857,14642.48571,9450,4252.5,2.059421338,1.461320072,0.598101266,0.290422001,2.334285714,5.894285714,3.061428571,6.072857143,16.375,332.9732143,31.5,25.875,19.25,10.1,20,28.30333333,13.375,36.13314751,0.6,0.7875,2.119354732,0.631268437,5332.5,4186.715832,4038.438679,200
1.333018868,1.057142857,10.9,-6.7,6144,16.94285714,22.54285714,15.22857143,85.54285714,86.98571429,99,61.6,448.7142857,67.28571429,67,4508.142857,12171.98571,5712,2570.4,1.981117467,1.562758092,0.418359375,0.211173432,2.518571429,5.788571429,3.278333333,6.111666667,16,348.9732143,30.5,24.125,19.75,9.8125,21.625,29.22384428,13.625,36.80853345,0.8375,0.9875,1.962981782,0.60903576,4608,3482.348189,3951.69211,200
2.089622642,1.885714286,10.6,-9.3,6170,17.14285714,23.58571429,15.65714286,86.67142857,88.55714286,100,63.1,435.4285714,64,60,3840,10368,4830,2173.5,1.680388979,1.328119935,0.352269044,0.209635417,2.632857143,5.791428571,3.958333333,5.916666667,17.625,366.5982143,29.375,24.25,19.25,10.425,19.875,30.22384428,15.375,41.53623499,0.35,0.6125,1.852261756,0.67768595,4627.5,3390.630302,4443.499142,200
1.765660377,1.585714286,11.5,-5.4,5680,16.94285714,22.61428571,15.31428571,88.45714286,87.41428571,100,64,447.5714286,69.85714286,53,3702.428571,9996.557143,3610,1624.5,1.759957243,1.473953722,0.286003521,0.162505948,2.394285714,5.962857143,4.111428571,5.801428571,17.375,383.9732143,33.5,24.625,18.75,12.05,23.25,31.23564955,15.25,41.19854202,0.575,0.5,2.089316942,0.692788189,4260,3321.744599,4318.111492,200
1.275471698,0.185714286,8.4,-8.8,7460,17.2,24.47142857,15.52857143,84.25714286,84.45714286,98.2,58.3,388.8571429,75,81,6075,16402.5,13550,6097.5,2.198726542,1.381367292,0.817359249,0.371742112,2.368571429,5.86,4.075714286,5.854285714,14.125,398.0982143,28.125,20.5,17.875,9.0875,25.25,32.19333333,14.875,40.18546312,0.55,0.45,1.392112876,0.671178793,5595,3445.670339,4355.284734,200
1.210188679,0.257142857,11.6,-9.2,9170,17.24285714,24.98571429,15.08571429,83.24285714,81.81428571,96.9,60.1,341.7142857,72.71428571,89,6471.571429,17473.24286,15050,6772.5,1.905479047,1.166929428,0.738549618,0.387592621,2.254285714,5.83,3.198571429,733.1028571,16,414.0982143,29.625,23.25,17.875,9.6375,24.5,33.18723762,14.625,39.51007719,0.35,0.6,1.663065577,0.642857143,6877.5,4738.356148,3976.469768,180
1.674716981,5.742857143,13,-4.5,5070,17.25714286,22.08571429,15.84285714,89.15714286,94.68571429,100,57.2,436.1428571,74.71428571,61,4557.571429,12305.44286,7350,3307.5,2.427109045,1.774742181,0.652366864,0.2687835,2.285714286,6.03,3.12,6.032857143,16,430.0982143,31,27,16,8.8625,23.375,34.12374323,14.875,40.18546312,0.8375,0.6875,1.808953688,0.640933573,3802.5,2749.978957,4035.133791,180
